variante,loss,pr_auc,roc_auc
original,0.18423955694577085,0.7146455140389508,0.961149822325452
sin_tag_title,0.2645839582258296,0.6843857110932101,0.9436880868719354
sin_reputacion,1.1548786309755374,0.14220036124929847,0.5325710201893872
