seed,n_params,best_epoch,best_valid_pr_auc,best_valid_roc_auc,best_train_pr_auc,best_pr_auc_gap,d_model,dim_feedforward
0,30305,10,0.7342567935059161,0.965203581283624,0.7242567918993525,-0.0100000016065635,32,64
1,30305,17,0.7039156667038544,0.9635161693764516,0.7750107132561451,0.0710950465522907,32,64
2,30305,12,0.6926949648999168,0.9628888491850792,0.7634382192092752,0.0707432543093584,32,64
0,76865,8,0.716820894178662,0.960840132610724,0.7416283558726235,0.0248074616939615,64,64
1,76865,4,0.7076849655998859,0.9589224386079844,0.7046530004839684,-0.0030319651159175,64,64
2,76865,10,0.7478955101108228,0.9670021638576222,0.7623293814112594,0.0144338713004366,64,64
0,38625,14,0.7241358393040447,0.9618287574692792,0.7737524854485385,0.04961664614449379,32,128
1,38625,9,0.6845864886818277,0.9576003017489529,0.7291795325047878,0.04459304382296014,32,128
2,38625,16,0.7302264366270674,0.9652353443312884,0.7815642463607329,0.05133780973366542,32,128
0,126401,18,0.7452029533388007,0.9659658944275702,0.7636459551950404,0.018443001856239705,64,256
1,126401,15,0.6959747209332041,0.9593710916562445,0.8388054084580947,0.1428306875248906,64,256
2,126401,20,0.7222712486717339,0.9640918746153693,0.8586351910448162,0.13636394237308236,64,256
