seed,best_epoch,best_valid_pr_auc,best_valid_roc_auc,best_epoch_pr_auc_gap
0,20,0.7791550500227442,0.9648422766164414,0.12808426462011258
1,19,0.7764568070483661,0.9701864093859807,0.11677601649154035
2,16,0.7428264546889896,0.9704603656720863,0.13633763052816994
