seed,n_params,best_epoch,best_valid_pr_auc,best_valid_roc_auc,best_train_pr_auc,best_pr_auc_gap,n_layers
0,9889,19,0.6604677314276429,0.9400353363905264,0.7749599758728217,0.1144922444451788,1
1,9889,15,0.7062743397335521,0.9617493498501182,0.7298966888278117,0.0236223490942595,1
2,9889,18,0.6969323750038396,0.9596768109900146,0.7335129310431883,0.0365805560393486,1
0,13169,18,0.678882210505115,0.941035872391956,0.7425056466209716,0.06362343611585664,2
1,13169,19,0.7144902687130036,0.9616381791832926,0.7534817465959802,0.03899147788297663,2
2,13169,12,0.6935533685796784,0.956262283366089,0.6754602742571847,-0.01809309432249373,2
0,19729,20,0.6356767487134245,0.9451531574454569,0.7294830755470927,0.09380632683366819,4
1,19729,16,0.6794639222157464,0.9495166061183571,0.7100994220341055,0.030635499818359113,4
2,19729,20,0.6373423229404149,0.956182875746928,0.7069254311477572,0.06958310820734226,4
0,32849,14,0.6071396765609155,0.9381355091020983,0.7005751458090119,0.09343546924809643,8
1,32849,16,0.7090506520946339,0.9476703789728624,0.7324716475749063,0.023420995480272433,8
2,32849,19,0.635200733873882,0.9552577769837016,0.6834627190717326,0.04826198519785063,8
