model,seed,n_params,best_epoch,best_valid_pr_auc,best_valid_roc_auc,best_epoch_train_pr_auc,best_epoch_train_roc_auc,best_epoch_pr_auc_gap,final_valid_pr_auc,final_valid_roc_auc,final_train_pr_auc,final_pr_auc_gap
tabular,0,4929,18,0.1778695109842059,0.5788934548269906,0.2683391051135148,0.7020838017530411,0.09046959412930888,0.17251375048475281,0.574942925773728,0.2859718626400782,0.11345811215532536
tabular,1,4929,20,0.17765054618752757,0.5825720127846268,0.2695121693493043,0.7009135425893971,0.0918616231617767,0.17765054618752757,0.5825720127846268,0.2695121693493043,0.0918616231617767
tabular,2,4929,18,0.1782117580235478,0.5788061064459136,0.26258797733839945,0.6995923055459989,0.08437621931485165,0.1778523301334073,0.5794731304468663,0.2741306834134709,0.09627835328006362
fusion,0,102337,17,0.7161898376300455,0.9610068886109623,0.8642680897086358,0.9840743620236453,0.14807825207859027,0.7146455140389508,0.961149822325452,0.906651164796719,0.1920056507577682
fusion,1,102337,19,0.7502510612325608,0.9659579536656542,0.9266614589100052,0.991161834381239,0.17641039767744437,0.746362820635065,0.9639052667103408,0.9383227812699404,0.19195996063487542
fusion,2,102337,16,0.730173936878232,0.9670418676672027,0.8741407857880891,0.983753624326943,0.14396684890985711,0.721798735910312,0.9655053302364363,0.9182984261530617,0.1964996902427497
