seed,n_params,best_epoch,best_valid_pr_auc,best_valid_roc_auc,best_train_pr_auc,best_pr_auc_gap
0,85825,34,0.8069927138667489,0.9652194628074564,0.9386687760716819,0.131676062204933
1,85825,24,0.7939218069212415,0.9675381652869594,0.9407870773746979,0.14686527045345643
2,85825,21,0.7921230788300305,0.9714529609115995,0.8973270061544164,0.10520392732438588
