proporcion,split,seed,bought_rate
70/15/15,valid,0,0.12779973649538867
70/15/15,test,0,0.1292517006802721
70/15/15,valid,1,0.1288384512683578
70/15/15,test,1,0.13234344738540993
70/15/15,valid,2,0.13306451612903225
70/15/15,test,2,0.13022941970310392
70/15/15,valid,3,0.1300204220558203
70/15/15,test,3,0.13031914893617022
70/15/15,valid,4,0.13228552717747216
70/15/15,test,4,0.12474437627811862
70/15/15,valid,5,0.13043478260869565
70/15/15,test,5,0.13188976377952755
70/15/15,valid,6,0.12838709677419355
70/15/15,test,6,0.12603305785123967
70/15/15,valid,7,0.13608666215301288
70/15/15,test,7,0.12694300518134716
70/15/15,valid,8,0.12575655682582382
70/15/15,test,8,0.1384928716904277
70/15/15,valid,9,0.13414634146341464
70/15/15,test,9,0.13410483321987746
70/15/15,valid,10,0.13675213675213677
70/15/15,test,10,0.12996632996632998
70/15/15,valid,11,0.13246396705559368
70/15/15,test,11,0.13377049180327868
70/15/15,valid,12,0.1335131490222522
70/15/15,test,12,0.13364674278038952
70/15/15,valid,13,0.13272010512483573
70/15/15,test,13,0.13311258278145696
70/15/15,valid,14,0.12542372881355932
70/15/15,test,14,0.1293499671700591
70/15/15,valid,15,0.1335978835978836
70/15/15,test,15,0.1302887844190732
70/15/15,valid,16,0.12924716855429713
70/15/15,test,16,0.13135313531353135
70/15/15,valid,17,0.13520749665327977
70/15/15,test,17,0.12919896640826872
70/15/15,valid,18,0.13502673796791445
70/15/15,test,18,0.13046272493573266
70/15/15,valid,19,0.12794612794612795
70/15/15,test,19,0.13364674278038952
70/15/15,valid,20,0.132013201320132
70/15/15,test,20,0.1224764468371467
70/15/15,valid,21,0.12894736842105264
70/15/15,test,21,0.12601626016260162
70/15/15,valid,22,0.12549019607843137
70/15/15,test,22,0.13101604278074866
70/15/15,valid,23,0.1247498332221481
70/15/15,test,23,0.13917175831636117
70/15/15,valid,24,0.13116970926301555
70/15/15,test,24,0.13227513227513227
70/15/15,valid,25,0.1265474552957359
70/15/15,test,25,0.1306930693069307
70/15/15,valid,26,0.1267418712674187
70/15/15,test,26,0.13000656598818122
70/15/15,valid,27,0.13293253173012692
70/15/15,test,27,0.12601626016260162
70/15/15,valid,28,0.1253180661577608
70/15/15,test,28,0.1334688346883469
70/15/15,valid,29,0.12898845892735913
70/15/15,test,29,0.126
70/15/15,valid,30,0.12955729166666666
70/15/15,test,30,0.13392250169952413
70/15/15,valid,31,0.13212608987256874
70/15/15,test,31,0.1304945054945055
70/15/15,valid,32,0.12920237310481214
70/15/15,test,32,0.131458469587966
70/15/15,valid,33,0.13487738419618528
70/15/15,test,33,0.1277445109780439
70/15/15,valid,34,0.13280212483399734
70/15/15,test,34,0.1294672960215779
70/15/15,valid,35,0.13916500994035785
70/15/15,test,35,0.12474849094567404
70/15/15,valid,36,0.1286360698125404
70/15/15,test,36,0.13508196721311475
70/15/15,valid,37,0.13107119095143047
70/15/15,test,37,0.12916383412644458
70/15/15,valid,38,0.12981082844096542
70/15/15,test,38,0.13424657534246576
70/15/15,valid,39,0.12759067357512954
70/15/15,test,39,0.13043478260869565
70/15/15,valid,40,0.1353826030085023
70/15/15,test,40,0.1309362279511533
70/15/15,valid,41,0.1291834002677376
70/15/15,test,41,0.12425249169435217
70/15/15,valid,42,0.1288384512683578
70/15/15,test,42,0.1348993288590604
70/15/15,valid,43,0.12424445936870383
70/15/15,test,43,0.13216453135536074
70/15/15,valid,44,0.13841059602649006
70/15/15,test,44,0.12356687898089172
70/15/15,valid,45,0.13101604278074866
70/15/15,test,45,0.13289902280130292
70/15/15,valid,46,0.13242894056847546
70/15/15,test,46,0.1310615989515072
70/15/15,valid,47,0.12777053455019557
70/15/15,test,47,0.12778904665314403
70/15/15,valid,48,0.12439862542955327
70/15/15,test,48,0.12828736369467608
70/15/15,valid,49,0.1283244680851064
70/15/15,test,49,0.13092979127134724
70/15/15,valid,50,0.13140161725067384
70/15/15,test,50,0.13355704697986578
70/15/15,valid,51,0.13112582781456952
70/15/15,test,51,0.1327372764786795
70/15/15,valid,52,0.13883299798792756
70/15/15,test,52,0.13253012048192772
70/15/15,valid,53,0.12931034482758622
70/15/15,test,53,0.13577732518669383
70/15/15,valid,54,0.1272845953002611
70/15/15,test,54,0.12168284789644013
70/15/15,valid,55,0.1286472148541114
70/15/15,test,55,0.13005390835579514
70/15/15,valid,56,0.12467018469656992
70/15/15,test,56,0.13066316480630336
70/15/15,valid,57,0.1297554347826087
70/15/15,test,57,0.12881806108897742
70/15/15,valid,58,0.1349206349206349
70/15/15,test,58,0.13553607552258934
70/15/15,valid,59,0.1231838281743525
70/15/15,test,59,0.1342281879194631
70/15/15,valid,60,0.12804453723034098
70/15/15,test,60,0.13225806451612904
70/15/15,valid,61,0.13067027758970887
70/15/15,test,61,0.1284465366509751
70/15/15,valid,62,0.1309840425531915
70/15/15,test,62,0.12525117213663764
70/15/15,valid,63,0.12952646239554316
70/15/15,test,63,0.1335095836087244
70/15/15,valid,64,0.12808219178082192
70/15/15,test,64,0.13581890812250333
70/15/15,valid,65,0.12483574244415244
70/15/15,test,65,0.1319207108680793
70/15/15,valid,66,0.13364361702127658
70/15/15,test,66,0.13161375661375663
70/15/15,valid,67,0.1312127236580517
70/15/15,test,67,0.13386348575215373
70/15/15,valid,68,0.13043478260869565
70/15/15,test,68,0.12795905310300704
70/15/15,valid,69,0.12508638562543192
70/15/15,test,69,0.12966476913345984
70/15/15,valid,70,0.133008356545961
70/15/15,test,70,0.1287465940054496
70/15/15,valid,71,0.1312458361092605
70/15/15,test,71,0.12932723709993468
70/15/15,valid,72,0.12980132450331125
70/15/15,test,72,0.13238289205702647
70/15/15,valid,73,0.13049546406140963
70/15/15,test,73,0.1302887844190732
70/15/15,valid,74,0.128686327077748
70/15/15,test,74,0.1283739302172482
70/15/15,valid,75,0.12783505154639174
70/15/15,test,75,0.12771560236998025
70/15/15,valid,76,0.13011889035667107
70/15/15,test,76,0.13133940182054615
70/15/15,valid,77,0.1323529411764706
70/15/15,test,77,0.13624338624338625
70/15/15,valid,78,0.12998040496407576
70/15/15,test,78,0.1246684350132626
70/15/15,valid,79,0.13149243918474687
70/15/15,test,79,0.13091158327621658
70/15/15,valid,80,0.1361533377395902
70/15/15,test,80,0.13179347826086957
70/15/15,valid,81,0.1333780160857909
70/15/15,test,81,0.13333333333333333
70/15/15,valid,82,0.1282225237449118
70/15/15,test,82,0.12654924983692106
70/15/15,valid,83,0.12781456953642384
70/15/15,test,83,0.12567934782608695
70/15/15,valid,84,0.12508497620666215
70/15/15,test,84,0.12575655682582382
70/15/15,valid,85,0.12474849094567404
70/15/15,test,85,0.13253012048192772
70/15/15,valid,86,0.12916111850865514
70/15/15,test,86,0.12639894667544438
70/15/15,valid,87,0.13193504736129905
70/15/15,test,87,0.13016949152542373
70/15/15,valid,88,0.13159652638610556
70/15/15,test,88,0.13149022252191503
70/15/15,valid,89,0.12881806108897742
70/15/15,test,89,0.1300204220558203
70/15/15,valid,90,0.12416998671978752
70/15/15,test,90,0.12541473125414732
70/15/15,valid,91,0.12351387054161163
70/15/15,test,91,0.12822207534699273
70/15/15,valid,92,0.13449899125756556
70/15/15,test,92,0.12393442622950819
70/15/15,valid,93,0.1290956749672346
70/15/15,test,93,0.13147138964577657
70/15/15,valid,94,0.13555858310626703
