seed,n_params,best_epoch,best_valid_pr_auc,best_valid_roc_auc,best_train_pr_auc,best_pr_auc_gap,variant
0,85825,19,0.7987789013070508,0.9715164870069283,0.8665927459089249,0.06781384460187412,full
1,85825,20,0.7882837620035981,0.9686101681456336,0.9143409557141188,0.1260571937105207,full
2,85825,20,0.7870989964193109,0.9710757747205844,0.8746333172003977,0.0875343207810868,full
0,85185,19,0.7931089347468153,0.9710956266253747,0.8711676588418892,0.07805872409507386,sin_country_of_origin
1,85185,19,0.7721899308312086,0.9706747662438211,0.8880009574980243,0.11581102666681575,sin_country_of_origin
2,85185,20,0.7926617364115768,0.9721199849125524,0.8683725929214233,0.07571085650984655,sin_country_of_origin
0,85761,20,0.740575129103944,0.9638337998530958,0.8760099313693155,0.13543480226537152,sin_nutrition_score
1,85761,20,0.7604004982699724,0.9683520933833601,0.8975847119201792,0.13718421365020683,sin_nutrition_score
2,85761,19,0.7781559545159774,0.971496635102138,0.8596749221858759,0.08151896766989852,sin_nutrition_score
0,85121,20,0.7959702233867259,0.9711710638635777,0.866150457146638,0.07018023375991211,sin_ambas
1,85121,20,0.7717047092852385,0.9675738987155817,0.8636593533878458,0.09195464410260734,sin_ambas
2,85121,20,0.7861832945765214,0.9688205983364104,0.850683556416006,0.06450026183948465,sin_ambas
