epoch,train_loss,train_pr_auc,train_roc_auc,valid_loss,valid_pr_auc,valid_roc_auc
1,0.3657708915722962,0.39766868393202676,0.8244861379370751,0.366164461036868,0.3568362181532124,0.8170845492625018
2,0.15850097139053052,0.7022480457932311,0.9580704087870571,0.1626146097129114,0.657783152216677,0.9442240883012726
3,0.14946490609503038,0.7207327652663734,0.964098688244223,0.1517316471531649,0.6771187790558164,0.9537331506958091
4,0.14674383801813473,0.7268024588707778,0.9665858501580662,0.15020810189011577,0.6764963842846043,0.9543565005062236
5,0.14438732164761575,0.7350789733826405,0.9681638940734861,0.1495310104139975,0.6833796643485791,0.9576400055585332
6,0.1420445373686667,0.7436384451348776,0.9696799937152748,0.14947774488036242,0.69357555519962,0.9619121354693984
7,0.13794578233583954,0.7392778890264068,0.97081305019563,0.14742888570906165,0.6840796347992978,0.9641554007106982
8,0.13636912020848807,0.7505556898746077,0.9717159376475805,0.1461559407044953,0.6904169990079716,0.9650288845214698
9,0.13543145106101268,0.7566957331165539,0.9725013476942914,0.14660694766466384,0.6874911439330024,0.9646755206162032
10,0.1274085718218218,0.7769562896356689,0.9748599255765739,0.14941705001371405,0.7070987922045988,0.9660889762372701
11,0.12713592162454598,0.777144948679013,0.9753140330869108,0.14968337753267888,0.7002620136086485,0.9644968534730908
12,0.12398483815852125,0.7961369949338776,0.9769339751699179,0.15424644923178313,0.7150102934884914,0.9638496813769281
13,0.12487349770984443,0.7964691089561863,0.9770001634389726,0.14791701925055525,0.7055107743888569,0.9656125305223036
14,0.11660894508862998,0.8195828411636461,0.9795147758764076,0.15648587323595908,0.7246163383050852,0.9661842653802631
15,0.11511040973666731,0.8296766603118938,0.9808664432699713,0.15956885145805547,0.722026025350504,0.9619200762313144
16,0.1143890742618427,0.8403923066166477,0.9818523143771214,0.1564717287911433,0.7228052977848456,0.9656562047128422
17,0.10966472243130446,0.8427596563318973,0.9818866275316109,0.18755349570584393,0.7227400878328512,0.9571754709864412
18,0.10390831075323968,0.8664532197155107,0.9843822774363016,0.16924299148516916,0.7213998343099968,0.96219403251742
19,0.10377103608384244,0.8713821583695219,0.9852951879412739,0.16922220882172578,0.7299161225683333,0.9611657038492843
20,0.10240955194336172,0.8760099313693155,0.9853795260630983,0.17197653438363755,0.740575129103944,0.9638337998530958
