epoch,train_loss,valid_loss,valid_pr_auc,valid_roc_auc
1,0.4087955662762853,0.3799610108893131,0.2062156559934662,0.6434538343954103
2,0.23650379926901305,0.15829145850660964,0.7017393571856473,0.9522561689794136
3,0.15349221884082265,0.15047182594345154,0.697388311411949,0.9537172691719771
4,0.14986857953781546,0.15144148491850204,0.6884974226005706,0.9523435173604907
5,0.1471826269823146,0.14956518753030112,0.6805903939752335,0.9539515216485022
6,0.14519251052543086,0.14993991571489737,0.6881756700792597,0.9586365711790046
7,0.14381792361030427,0.1500510231694965,0.694107339248807,0.9585254005121792
8,0.14070191219899564,0.14952708875265555,0.6978067687123829,0.9597998927997142
9,0.13739771327493672,0.15342453165907408,0.6999563061411503,0.959712544418637
10,0.13758324352727913,0.1542919610188068,0.7042882174823846,0.9625037222321482
11,0.13277723185858314,0.14936023895866243,0.6971780759163371,0.9638695332817184
12,0.1287956265206685,0.15247381397974347,0.7077799844438585,0.9649137434736862
13,0.1235004824124536,0.15124115490109644,0.7083961971033225,0.9649891807118893
14,0.12097366977880426,0.1578245336346537,0.7059884197196227,0.9651202032835051
15,0.12042034372338824,0.16190448896748041,0.7179812962535506,0.9615508308022154
16,0.1167459788530878,0.17001434207678795,0.7175947932240458,0.9629682568042404
17,0.10891958804672539,0.17662658471768306,0.7222485820700221,0.9626148928989736
18,0.10358736198661127,0.17550536928492014,0.7218250956939907,0.9620113949933496
19,0.09836547711255274,0.1661481441997081,0.7359553117830251,0.965942072141822
20,0.09581372717313609,0.17091332578929627,0.7372538105429579,0.963472495185913
