epoch,train_loss_running,train_loss,train_pr_auc,train_roc_auc,valid_loss,valid_pr_auc,valid_roc_auc
1,0.3528446619995512,0.17913872686135585,0.6661141777373468,0.9515032322088552,0.18555419385751512,0.6919798439732755,0.9461695749707184
2,0.15627484365711194,0.15153531895932373,0.7191206436432981,0.9607285043889233,0.15029715527799006,0.6933273270740995,0.9542770928870625
3,0.15152088463884453,0.15413604994637586,0.7236294353463175,0.96197235623917,0.15184495042019755,0.7097891967605505,0.9559009786989061
4,0.15131180905999964,0.1482415988539806,0.7306463024216495,0.9643519735030209,0.14841080089914147,0.6996562297590979,0.9564210986044109
5,0.15011246781636836,0.1471096424590977,0.7341084172930306,0.9649855929900032,0.14954730840486902,0.6977189072449754,0.9579298433684713
6,0.1486149938087496,0.14470352220980698,0.7397465681059121,0.9667458578153175,0.1470774529434651,0.6979666440155362,0.9594703511801956
7,0.14610801038321128,0.14698587466377702,0.7389589373908373,0.9675354215596773,0.15166511084232853,0.6930988950713063,0.9588430309888234
8,0.14507978669215255,0.14185393725336448,0.7444469993628315,0.9695606200567611,0.15025251160794806,0.6992563301247409,0.9623091735652035
9,0.1416004939175849,0.13743625243799523,0.7464876835538847,0.9715925005891929,0.14397236070184108,0.6943002218469867,0.9656284120461358
10,0.14170416010595768,0.1366717395523039,0.7571240907736221,0.9722119433255045,0.1432738172335523,0.7049725321651225,0.9669386377622933
11,0.13656683526274413,0.13068203546034562,0.7604564213398659,0.9733168269000685,0.14326087410284458,0.6892772058397503,0.9659222202370318
12,0.13442326921500006,0.12787903949439833,0.7960849472548275,0.9760967342003726,0.15013379115208447,0.6857221304872888,0.9638735036626764
13,0.13201625693612826,0.12526817584098984,0.8153524899398586,0.9781284341372545,0.14945543644942333,0.6940910936008231,0.9656800269985906
14,0.12774336285765894,0.11753565981278608,0.8417516584364715,0.9805547353507663,0.1572400640462524,0.6982411540772423,0.9643459789966847
15,0.12266207312133336,0.12476096828019217,0.845609853659602,0.9804966738814588,0.16301334981566595,0.6883155338918545,0.9636392511861512
16,0.11686032058440544,0.10837594805634912,0.857235826001101,0.9830529135931562,0.16689941302956504,0.6821507420799593,0.9602763385146805
17,0.11325255261189042,0.1003627054610051,0.8842282535973081,0.9855093742635087,0.17992466001787555,0.676290444428566,0.9569134258432096
18,0.1082267306715301,0.10068013663555103,0.8861668017454026,0.9858618967770016,0.16869292122738383,0.6947347732250538,0.9634566136620808
19,0.1069140781675552,0.10261431039314711,0.8838592418641777,0.9853735664099501,0.17072417862584022,0.6929576451494585,0.9624282849939451
20,0.10235492283923586,0.09222676894424034,0.9130017119983703,0.9891100883383134,0.1791675468690405,0.6743680135192887,0.9602723681337224
