epoch,train_loss_running,train_loss,train_pr_auc,train_roc_auc,valid_loss,valid_pr_auc,valid_roc_auc
1,0.41413922178629664,0.3600429005780631,0.53867193905375,0.8870686362417343,0.3614081929379375,0.5364165886844395,0.8598137891330672
2,0.2118870930515625,0.1519277175740725,0.7163359889502448,0.9585538630742598,0.15307319613897274,0.7147892285041945,0.9485120997359696
3,0.15026530662962728,0.14651695601493375,0.7378028894839336,0.9649357486182183,0.1507102384944465,0.7206009600433371,0.9555237925078911
4,0.14824682622892954,0.1441339672852841,0.7509248831573788,0.967589058438011,0.15034981447959614,0.7157233751359878,0.9585055486073888
5,0.1457158351753755,0.1389383793480724,0.7616454779455515,0.9698918322953604,0.1495712380582723,0.7183959206439694,0.9607011692771922
6,0.14147777194491945,0.13559775221912235,0.7735704046158223,0.9719379798762379,0.15241033156142533,0.7184717621935195,0.9619002243265241
7,0.13890430174823223,0.1331957871709561,0.7822821033581581,0.9732594878129609,0.15300100940330644,0.7127098617759134,0.9619518392789788
8,0.13582072635667364,0.135937836405827,0.7950764668910109,0.9757778024591695,0.15404713981460347,0.715388278754342,0.9617652313739503
9,0.13379831873071718,0.12868700238530187,0.8058321108235432,0.9769755121464051,0.14987715353594921,0.7263624464713305,0.9641077561392015
10,0.1282612617976041,0.12056349608059005,0.8140380655611349,0.9787399306693685,0.157983181155094,0.7264607865882514,0.9632144204236397
11,0.1268154144142603,0.11802225652178967,0.8292222431379475,0.9801305164039452,0.15142968698878473,0.7342853076464634,0.9651599070930854
12,0.12191695897190216,0.11489087989244608,0.8377285867861073,0.9816628696452292,0.1517258742662552,0.7374942679797069,0.9646953725209932
13,0.11755849044032594,0.11210505689424714,0.8579265502614641,0.9833277800201725,0.15607335447310128,0.7357794836875577,0.9648422766164414
14,0.11337663467465574,0.10626590483982905,0.8608787065686867,0.9839591420627803,0.16241253241996104,0.7389515595074172,0.9639965854723761
15,0.11007421842419754,0.10379382931397292,0.8851787685331345,0.9865353375827467,0.164052055141477,0.7427916967429912,0.9654934190935621
16,0.10577363396330146,0.09949149628723954,0.8941787628784289,0.9872707226621229,0.17950982993371656,0.7570632783374756,0.9634844063287872
17,0.10227680731409629,0.09051371010469833,0.9069233409848022,0.9890634946864273,0.175895978456664,0.7565624892634258,0.965564885950807
18,0.09622209089453806,0.09939784977608453,0.8959621558144202,0.9866054086561253,0.189698537257071,0.7551971177459882,0.9614555416592222
19,0.09469038418069678,0.08188127279409121,0.9254952539776662,0.9914585528697986,0.18069726881261503,0.7441328689299005,0.9646040537589581
20,0.0891594531506521,0.08914727620733716,0.9339952060463097,0.9920276094476757,0.17761206915365838,0.7623730360440053,0.9640482004248307
