epoch,train_loss,valid_loss,valid_pr_auc,valid_roc_auc
1,0.44331828721985433,0.3851182070847984,0.1487692666733882,0.5458916483036548
2,0.3779448026156874,0.3203823581158876,0.5761165818117441,0.8701486907668792
3,0.1929606958858231,0.15407389986300182,0.7024305593706325,0.9497190955472177
4,0.15091167603705993,0.15167620960120684,0.6875745153064492,0.9519305977408533
5,0.14739572548791469,0.14934102321498702,0.6924706322728941,0.9522521985984556
6,0.1442248037906286,0.14996003805198402,0.6896256135922577,0.9540626923153276
7,0.1421861640101695,0.14929289543859472,0.6968442214942153,0.9565084469854883
8,0.1407166684925114,0.14923385553589172,0.7009795469326062,0.9560081789847736
9,0.1379284260702079,0.15310249225956415,0.702712739838154,0.9582037996545769
10,0.13617313095605924,0.15047234991125175,0.7115311322908922,0.9583348222261926
11,0.13424439502150007,0.15110859543443203,0.7037489379574015,0.95874774184583
12,0.13135191927415876,0.15074299431054072,0.7178669004568021,0.9595219661326504
13,0.1283353622970891,0.14965957523546167,0.7315037973535621,0.9608480733726401
14,0.12599501842117555,0.15504245722644,0.7242780224147586,0.9608996883250948
15,0.12437497043670821,0.1502900232420426,0.7517039856123693,0.9605939689913247
16,0.12143668832647345,0.15030604699385341,0.7496608423156994,0.9622813808984971
17,0.11721825732276295,0.15151121833415152,0.7506171341473824,0.9637385107101026
18,0.11396978818479431,0.15624898447293306,0.7782354974298668,0.9621305064220912
19,0.11466872233937825,0.14801183100217813,0.7839937297581544,0.9662636729994243
20,0.10652617884919906,0.15047375005340385,0.7892558048116679,0.9679947590971354
