epoch,train_loss,valid_loss,valid_pr_auc,valid_roc_auc
1,0.48717446818191257,0.38740590728013635,0.1413442565206477,0.5183729378833899
2,0.38456638814446864,0.38403340251009677,0.14495002413438995,0.5360490739086415
3,0.3806673375389199,0.3842761552779474,0.14619740059861153,0.5393365493419093
4,0.38015301380236355,0.3838396645754138,0.1494700640903583,0.547189962876938
5,0.3787927857583683,0.3834396656428542,0.151163468664127,0.5519385385027693
6,0.3761000691042311,0.38422453841157206,0.15283412666098864,0.5511007881206201
7,0.3763700131171782,0.38374739602824876,0.15605626116191418,0.555448355269688
8,0.374800937317197,0.38332042603371774,0.15909149924155297,0.5605622059436604
9,0.37533151909615475,0.38342939020794764,0.16105797128017535,0.5632779465189685
10,0.3728987995346002,0.38309743777613775,0.16640680619079265,0.5655410636650587
11,0.3720027723961127,0.38377944713281853,0.16421328782315384,0.5607766065153952
12,0.3712827158497866,0.38372514415805903,0.1676691949336962,0.563170746233101
13,0.36949987579466476,0.3829468773585932,0.17211399471977312,0.5693843924324539
14,0.36795179038406844,0.3829011573731024,0.1720750572789122,0.5733746252952971
15,0.3664376540858611,0.3836221460984132,0.17008155364747662,0.572243066722252
16,0.365164433590562,0.38353474913674773,0.17125248486513975,0.5721993925317134
17,0.36279006743526293,0.3834449688646599,0.17264274694661735,0.5769995831099994
18,0.36138481926863625,0.38318345042191776,0.1778695109842059,0.5788934548269906
19,0.36028957800462597,0.3839278660008363,0.17387545168895124,0.577789688920652
20,0.3590438347575465,0.3849187738427492,0.17251375048475281,0.574942925773728
