epoch,train_loss,valid_loss,valid_pr_auc,valid_roc_auc
1,0.4028814408143996,0.3828038828713553,0.16720220407898062,0.5693427034323943
2,0.2550392810210662,0.15565924845804996,0.6623909222448976,0.9452405058265341
3,0.15423747564783385,0.15158066930415953,0.6812057589013845,0.9486351815456693
4,0.1507030592108208,0.15769730440685364,0.6794842546880145,0.9484843070692633
5,0.14909418304681915,0.14995652111931063,0.6832416215694458,0.9511087288825363
6,0.14772483221102767,0.1495081936226827,0.6860602544686566,0.9514501816449289
7,0.14909415309148996,0.14933359027107823,0.6878781503829419,0.953117741647311
8,0.14572355758103384,0.14903493871158846,0.6824963848476063,0.9535941873622774
9,0.14360468053028913,0.1495996833006753,0.6825667812783892,0.9533043495523396
10,0.14401744481195264,0.1489950094386955,0.679856689065728,0.9545709010779584
11,0.14495694408638438,0.1521451699837187,0.6720717236816733,0.9533916979334167
12,0.1428368475545289,0.1498696392225487,0.6785539462141591,0.9540626923153276
13,0.14183403437673467,0.15058077286894075,0.6915471936654083,0.9542890040299368
14,0.14565678225608125,0.15148580778584142,0.6780257561553343,0.9541698926011951
15,0.14040056033367032,0.1512859133339533,0.6779107442882709,0.9545232565064617
16,0.1450847782453876,0.14834184617361176,0.6991684244154167,0.9561669942230957
17,0.14037707555960466,0.15205051412728823,0.6961662533260932,0.9561511126992635
18,0.13805213939511157,0.15035156913608988,0.6951683354518433,0.9563694836519564
19,0.13879974177070026,0.1473665306063615,0.7168640849021357,0.9579099914636808
20,0.1366700845586186,0.1458127195231905,0.7271321646443644,0.9584420225120599
