epoch,train_loss_running,train_loss,train_pr_auc,train_roc_auc,valid_loss,valid_pr_auc,valid_roc_auc
1,0.408509560044126,0.373770880345542,0.40847020941535317,0.7563763322307976,0.37434110928759556,0.390891269381711,0.7340122684771604
2,0.2240772360624481,0.15242763907907353,0.7154182586410912,0.957767730645349,0.15360199994294443,0.6686860780410719,0.9414289401068032
3,0.15287522453957125,0.15009755319907742,0.73179803543832,0.9640814413692032,0.15094301169203503,0.6761360310652197,0.9478847795445974
4,0.15008227905408356,0.1462552510563197,0.7372611368905773,0.9662959943004045,0.14979465942436926,0.6786718786677298,0.9522005836460009
5,0.14739665771577948,0.14296623200382155,0.7453074021153621,0.9685120822937804,0.14784224051857822,0.6790260703474299,0.9568975443193773
6,0.14383603906162248,0.13983825850048137,0.7522668483382262,0.9709681817730329,0.14950647097682762,0.6920293254935087,0.9604827983244992
7,0.14274566195569444,0.13520200025232873,0.7638622624993898,0.972736392802545,0.14582825538631433,0.6939194963627286,0.9638377702340539
8,0.1383238945069207,0.13364683066989377,0.769882937773929,0.9734640122732737,0.14434636467806647,0.6958047374141664,0.9654021003315268
9,0.13577954319804583,0.12988548370527664,0.7774860137459111,0.9744188209458331,0.14316673497252852,0.6967180974761361,0.9661167689039764
10,0.13577479213323174,0.13152583189950423,0.7793345075905548,0.974616392477473,0.14653573801942438,0.7085661679880939,0.9648025728068608
11,0.1319701336685481,0.12359223053649841,0.8034677423062097,0.9772563382265698,0.14955317497611523,0.7015701516235124,0.9638576221388443
12,0.12702844341227618,0.1230910169996674,0.812798805206377,0.9779864860349976,0.15074003542535933,0.7041796119307774,0.964147459948782
13,0.12420573641896179,0.11828844260298994,0.8301913812291462,0.9799813444796907,0.15162013279142303,0.7152620761142581,0.9644809719492585
14,0.11850018024495583,0.11302626468729987,0.8416884771481273,0.9814573519093915,0.15550543243520568,0.7198845625481666,0.964135548805908
15,0.11589932344382108,0.11116885479711766,0.8514820493858292,0.9823769444497118,0.17483349298643017,0.7325915865047637,0.9627697377563378
16,0.1138648031119,0.10376249692794329,0.8709663287680363,0.9847185463502993,0.17494965285977948,0.7160045144807858,0.9614198082305997
17,0.10935860711611547,0.09768869120072993,0.892813794499476,0.9868688975634952,0.1618342311165043,0.7323855727745907,0.9635002878526194
18,0.10709700349631203,0.09955109969946023,0.8978417495293781,0.9877048743641909,0.15581999532132346,0.7233770973547916,0.9643618605205169
19,0.10169668124613596,0.09210229217283603,0.9004397569644415,0.9877637485134729,0.18482850209495255,0.736721253024977,0.9627697377563377
20,0.10086718250514437,0.08601431675676068,0.918563730847904,0.9896917866046863,0.19189836992042883,0.7313807618039133,0.9604351537530026
