epoch,train_loss,train_pr_auc,train_roc_auc,valid_loss,valid_pr_auc,valid_roc_auc
1,0.3845568926961369,0.17137672536242135,0.5943360720648482,0.3839072723573295,0.15653521542488896,0.5737815893434975
2,0.3735239198734199,0.3689546841150521,0.7871006919518495,0.37447364729778154,0.33262631657247466,0.7522839616461199
3,0.22908479931588452,0.6104471623100673,0.9315997966494107,0.23107214031295878,0.6168924691082748,0.927683481230024
4,0.16543130971028067,0.6559286224957861,0.9492198723731249,0.1621712240103249,0.6385408676383525,0.9425287356321839
5,0.1549505364262439,0.665896362520623,0.9521553627397067,0.15434567190617204,0.6646302897427498,0.9451491870644988
6,0.1523388513686381,0.671269895990042,0.9534874355161013,0.15199968241682357,0.6680040420138654,0.9459154705894031
7,0.15337133430543792,0.6747537128818181,0.9546930011097596,0.15297991933626867,0.6759592185161901,0.946352212494789
8,0.15106702385564838,0.6759052089693048,0.9547269530731491,0.15301204026143286,0.6685681109425451,0.9475036229726242
9,0.15036886792759588,0.6899037267832874,0.9562482899858864,0.1528700124895143,0.6768896234279628,0.9485795962122565
10,0.1503488059961585,0.6974950589936254,0.9578916191926115,0.15142600458160102,0.6900124091272419,0.9508824171679272
11,0.15134202665131363,0.6996490911934679,0.958704840954014,0.1522823699982526,0.6877528157089489,0.9517559009786988
12,0.14807662103884028,0.7061749711761777,0.9596299416586075,0.15275024891257763,0.6815260913019136,0.9512278403112778
13,0.14673893772919927,0.7175693609125611,0.9618432304209592,0.15119588344254703,0.6886013519068327,0.9523832211700713
14,0.14614919033294668,0.7189049280258641,0.9629195798986318,0.15165439361485047,0.6891678904474943,0.9530740674567724
15,0.14454091378555117,0.7340198690445677,0.9645893663534237,0.15300127421225979,0.7088266965882974,0.9556111408889683
16,0.1427298329698312,0.7393884774758602,0.9663599251250851,0.15140064106445925,0.7051276204134761,0.9565282988902785
17,0.14176972330262574,0.7378725376865964,0.9670301152109311,0.15254527498509124,0.6964009513294217,0.9572270859388958
18,0.13873313851038252,0.7423236958532243,0.9683225472641129,0.15333673238595114,0.6983345676482726,0.9596847517519306
19,0.13577309570020768,0.7534817465959802,0.970356865836469,0.1515011602393457,0.7144902687130036,0.9616381791832926
20,0.1340144991883195,0.7580791054868086,0.9712370885469012,0.1543083724892824,0.7105521433165253,0.9621027137553847
