epoch,train_loss,train_pr_auc,train_roc_auc,valid_loss,valid_pr_auc,valid_roc_auc
1,0.24095650143067088,0.5866134166600694,0.9116197885767896,0.2392260406181236,0.6076327863671486,0.9130685089234312
2,0.1632147677714527,0.7133700869385116,0.9578206451414831,0.172474126531699,0.6832512916165453,0.9505489051674508
3,0.14497530903227318,0.7547962001836978,0.9647212011048835,0.16267146064697185,0.6755925756321792,0.951688404502412
4,0.14113642740304036,0.7704681765551836,0.9679822149502415,0.16285415821384205,0.6979811369300049,0.9534591944097035
5,0.13513995653907707,0.7864042083091113,0.9704592635132878,0.15784385820256375,0.7057435605574854,0.9560637643181864
6,0.13189945065645375,0.7978736948926493,0.9723820643335528,0.15820668777015723,0.706134639698762,0.9567863736525519
7,0.13861573981817152,0.8061037989925145,0.9745658257234884,0.1748594597917055,0.6913897591101594,0.9590733130843905
8,0.12628869659225395,0.822254376489465,0.9773541307168649,0.16106622143883573,0.7013059341338249,0.9591288984178032
9,0.12186243362550524,0.836547994751377,0.9792416251071158,0.16301171346325105,0.7031783624603399,0.9596688702280984
10,0.11547810513753587,0.8462762912673674,0.9809087026286585,0.1663266453190703,0.6902993099520062,0.9597403370853432
11,0.1134088134899931,0.8545324050148383,0.981820710155881,0.17613187018478504,0.693640632423666,0.9582752665118218
12,0.11075849524240662,0.8673849042406843,0.9831746349938191,0.16434410192539917,0.7035384499287531,0.9619121354693982
13,0.10395638633644792,0.8741487745597175,0.9841830805447123,0.1886178825264461,0.6829185040659527,0.958894645941278
14,0.10303335210135238,0.881713446100358,0.9850941850941851,0.17282169663380875,0.696055664953514,0.9609314513727593
15,0.10833536046389777,0.8823274337583884,0.9850000948126637,0.18310810916016354,0.719415673689483,0.96174537946916
16,0.10206908446189954,0.8983357792207055,0.9867819408061966,0.18056601557497667,0.6981964662353217,0.9600341452762393
17,0.11096376072694014,0.892034359073052,0.9861125634003253,0.17429187100067317,0.6830478367583934,0.9615190677545511
18,0.09562384692927599,0.899849241421082,0.9875777350970294,0.17603199832509453,0.6868013284731038,0.9621980028983781
19,0.09414371735901406,0.903450470574382,0.987546492066889,0.19093038498838052,0.6928522305249709,0.9610346812776686
20,0.09139555656971145,0.9093850062596368,0.9883512258374442,0.19160186450615108,0.6946077644228258,0.9604788279435412
