epoch,train_loss,train_pr_auc,train_roc_auc,valid_loss,valid_pr_auc,valid_roc_auc
1,0.3831511742036409,0.2065585251416185,0.6476639514125733,0.3829738029411861,0.15938903757970396,0.5985527961407897
2,0.33481876014031076,0.3779889218778703,0.7422567400516684,0.3502842052199334,0.2934765654197113,0.6889166815555953
3,0.21143189438125165,0.6228505240408602,0.9392306810167891,0.21073317850065804,0.5712261065675096,0.9249439183689675
4,0.16972130367875576,0.6473083508826012,0.951194775009549,0.1698888857986962,0.5985683704965105,0.9398924026760368
5,0.15786135560076917,0.643280482044723,0.9521723387214015,0.16042714897239796,0.6047272574896982,0.9432116411569691
6,0.15506139195312177,0.6449202243223001,0.9507082505979969,0.15711889971042667,0.6073407638928172,0.9412046135826733
7,0.15440473476019984,0.64937903799762,0.953541252989985,0.15351420891619175,0.6082596282436841,0.9456077660651538
8,0.15258158652002446,0.6489572521912346,0.9523276508943542,0.15358838278835066,0.6084895376294781,0.9425962321084708
9,0.15299159615670893,0.6572285490330582,0.955289959700103,0.15709248362220973,0.6161660470086293,0.9476783197347786
10,0.15139940395075732,0.6599433353272216,0.9557388299394913,0.15497260847102814,0.6137853049720554,0.9487344410696206
11,0.1499197560628686,0.6586933180403372,0.9556498866311434,0.1535110672281804,0.6180584836711176,0.9478808091636393
12,0.14984222286881818,0.6634973848642256,0.9563807568217711,0.15278902298737274,0.6261519054311029,0.9497071844043437
13,0.1521576055699053,0.6713002600713125,0.9578965855702349,0.15414130324634595,0.6125605374536582,0.9482579953546543
14,0.14918923473619966,0.6700638969058355,0.9578038497553382,0.15985796410585437,0.6311104808864867,0.9517519305977408
15,0.15056285080199777,0.674758304360345,0.9554319078023599,0.15251915742741406,0.6275545901551959,0.9443511404919301
16,0.14997124156388159,0.6766299425203651,0.9597420011973484,0.15346152122531617,0.6245294319908122,0.9511881365016972
17,0.14709952749052663,0.6746361901364678,0.9570095002289049,0.15997663361128564,0.6292540907515022,0.9494213169753637
18,0.14455661230337533,0.6804583328186214,0.9609441354755577,0.15311572037249285,0.6347979401834882,0.9543485597443074
19,0.14365473841845616,0.6834627190717326,0.9612822103450549,0.15244472317288174,0.635200733873882,0.9552577769837016
20,0.14280573820564588,0.690257158153338,0.9620011612293862,0.15528208413254593,0.6318758232341003,0.9539872550771248
