epoch,train_loss,valid_loss,valid_pr_auc,valid_roc_auc
1,0.41584072523435317,0.38087538441764973,0.19265649221632192,0.614023385543843
2,0.25496545245289737,0.15279969027905024,0.6332788414483846,0.9460544339229349
3,0.1517237053809,0.15159347392767866,0.6603430319337522,0.9494292577372798
4,0.14871454502403295,0.15782069632701468,0.6576499662806838,0.9497865920235046
5,0.1486519616260844,0.15111316003412684,0.6762115871951541,0.9549322057451413
6,0.14618986526252337,0.14841759116332903,0.6877726788814832,0.9559525936513609
7,0.14445091181323655,0.14971272800570337,0.6795200967612072,0.9560320012705218
8,0.14190500422130634,0.1466886873079715,0.6834403716343767,0.9576558870823655
9,0.1405734818405379,0.1480422765613398,0.6901379505829542,0.9577154427967363
10,0.13896906219903088,0.15188689850201118,0.696964903832674,0.958366585273857
11,0.13714948962976506,0.15448473335227597,0.7027616050193902,0.9603398646100093
12,0.13363252603966919,0.14803548127373006,0.6928024172401787,0.9616262680404185
13,0.12984877908087022,0.15174242733755164,0.7004106006383959,0.9637821849006413
14,0.1275931423008272,0.1478857008991477,0.703902702866734,0.9661286800468505
15,0.12322873305114962,0.14904955155819216,0.7192015548323597,0.9671252456673219
16,0.11844859756338073,0.15126730625993898,0.7140653070235695,0.9670498084291188
17,0.11504525655144225,0.15115570205354564,0.7161795154602326,0.9662636729994243
18,0.11106054407490776,0.15156303978809846,0.718411408360587,0.9667917336668455
19,0.10506486957303061,0.16278515814819705,0.7083006512452472,0.9641196672820758
20,0.10324634499401619,0.16727114375307658,0.718976768466303,0.9656681158557163
