epoch,train_loss_running,train_loss,train_pr_auc,train_roc_auc,valid_loss,valid_pr_auc,valid_roc_auc
1,0.40874654887678685,0.33593111514569146,0.5160754306544646,0.8980039676842323,0.3363425354852536,0.5241176804693319,0.8820082186885831
2,0.18168730125111712,0.15238760189029468,0.7058358652276994,0.9592861780292872,0.153362873339844,0.6609195407076914,0.9460425227800607
3,0.15176857013363737,0.14927515037744574,0.7267939034898974,0.9629757451146645,0.15006485623176966,0.6804653008928828,0.9497270363091338
4,0.14993800749047034,0.1470398259839533,0.7330998603171845,0.9646594374268025,0.14887188970843684,0.7023483879763145,0.9529033410755764
5,0.14802500579232022,0.14545956942535984,0.7447951166272195,0.9666676599421915,0.14859101991946294,0.6997896113586224,0.9558295118416612
6,0.14650614543499704,0.14279148651577034,0.748801355663071,0.9674359134116576,0.14724503598798896,0.694414356733718,0.9563655132709984
7,0.1437069193438265,0.14224907644496804,0.7612989746034924,0.9700800128584031,0.14723904589029435,0.69999466692931,0.9588787644174459
8,0.1415766279356043,0.13975076716556864,0.7705223429487602,0.971680992408666,0.14824990807809882,0.7070771260809366,0.9619796319456851
9,0.13947656878184675,0.13517185383042266,0.7914538376731118,0.9754750340196866,0.14357154422473206,0.7182164015483078,0.9674150834772597
10,0.1328793067933489,0.126565267648006,0.813853712310823,0.97791298364617,0.1495203285394746,0.7214642650681073,0.9672245051912731
11,0.12935279619588352,0.1247818639753753,0.8241405861886854,0.979372015094176,0.14229057359202044,0.7359910255440882,0.9694161554801184
12,0.12689342714008847,0.12116620997344162,0.8382876191017675,0.9807889677790451,0.1470948559877392,0.7351744618732788,0.9693843924324539
13,0.12195684972043318,0.11650604648006622,0.8579334042013312,0.9832822699415863,0.14679686673413292,0.7416782135057581,0.9684434121453953
14,0.1165161133917549,0.11008652912094738,0.8636188891505077,0.9839322333258386,0.1599291399001916,0.7298273541539111,0.966692474142894
15,0.11399154618373954,0.10352975917641122,0.8709107028519503,0.9847476222338405,0.1582857810249316,0.7329407682258119,0.9676294840489944
16,0.10663792901527386,0.10137193271315445,0.9007836849462252,0.9886784649739445,0.15908585950354232,0.7315096331727533,0.9642228971869852
17,0.10034001999015613,0.09217437284457228,0.9090580811605501,0.990251452213966,0.16701966446534655,0.7329261683171485,0.9642387787108173
18,0.09798437333997834,0.09521850869187068,0.9123919099759539,0.9898628105904842,0.1732293785672799,0.7324006889095407,0.9647033132829096
19,0.08955278301572228,0.08143696642421819,0.9272608362344932,0.9918564048663278,0.1934055398517998,0.7177922404257796,0.9603358942290513
20,0.08951252825553935,0.07773191366011051,0.9391092473523737,0.9932549368051022,0.19746934721005138,0.718230423279982,0.9602326643241419
