epoch,train_loss_running,train_loss,train_pr_auc,train_roc_auc,valid_loss,valid_pr_auc,valid_roc_auc
1,0.523134391357473,0.3982221048794946,0.1358732227495614,0.49375076188747635,0.39764263390380644,0.13857085157114,0.48069799297242566
2,0.3875613020306917,0.3818215058146377,0.1560092658174455,0.5685813406871841,0.3844432887311612,0.14177281182252852,0.5260913584658448
3,0.3824842613524052,0.3790630779977669,0.16690779350302432,0.597308494221394,0.38401297685778507,0.14480060262865074,0.538105731244913
4,0.37974238118578624,0.3772274835818302,0.1725418436254138,0.6105325130683454,0.3839932172018313,0.1468926333806287,0.5428543068707443
5,0.37791136595703706,0.3759203991989238,0.17795376600336207,0.6196361541455256,0.383733738964804,0.15016408361248565,0.549206916403629
6,0.3769912013175211,0.3746373067225855,0.18359892786416504,0.6293533686036443,0.38360507863863447,0.15018737749248018,0.5506124312627797
7,0.37624467758879415,0.37334525527372,0.18806156828415366,0.6356016134406431,0.38402248312220555,0.15147061147935809,0.552585710598932
8,0.37493491065685774,0.3721189456909504,0.19399580401332772,0.6422042770444094,0.38360370777159414,0.15721943075761263,0.5574017827010501
9,0.37329389939495855,0.37095458318489455,0.20138980335478973,0.6496749731589863,0.38311503463498103,0.16167053678902554,0.5629325233756179
10,0.373332997219806,0.3695051418973321,0.20934338989458778,0.6556550336043169,0.38273672299964406,0.16609960087094405,0.5682329819546186
11,0.37096863140124153,0.36833829707713106,0.21651069512745352,0.6618523504962314,0.3830628549861653,0.16781658813136197,0.5677247731919877
12,0.3707255323614587,0.3668482140242135,0.22310920413561097,0.666708384238704,0.3828173657364457,0.17134629767779036,0.5706191809104083
13,0.3686664877315963,0.36538054668692543,0.23011010377124355,0.672404277586196,0.38349768117527777,0.1699908086748474,0.5686300200504238
14,0.3681161306241683,0.36409388022700245,0.2360572963890739,0.67843923907871,0.383134869930741,0.1740662476902872,0.5739543009151729
15,0.3661918846355869,0.36261796801687307,0.24219668656191662,0.6837985926188792,0.38277879862664377,0.17342453235981692,0.5777063109205328
16,0.3649876633509186,0.3612145255513689,0.24862318171485157,0.6901909527047344,0.38346943223428664,0.17588159428742645,0.5757012685367161
17,0.3638698408009322,0.35978371457447,0.2545388016211895,0.6939535706900647,0.38332643973652286,0.17650697546620048,0.5771623687292796
18,0.36283671271100565,0.35882029632670637,0.26258797733839945,0.6995923055459989,0.3836894760303726,0.1782117580235478,0.5788061064459136
19,0.3615628584275841,0.35720046489359786,0.2687969332530066,0.7024491465505799,0.38416599936892737,0.17741246148701834,0.5794016635896214
20,0.36053291949216665,0.35562750156511935,0.2741306834134709,0.7082168266291751,0.3844783633987162,0.1778523301334073,0.5794731304468663
