epoch,train_loss,train_pr_auc,train_roc_auc,valid_loss,valid_pr_auc,valid_roc_auc
1,0.29668570596765126,0.5541539575833668,0.9062497798991735,0.29518098267757686,0.561020698630514,0.9022889246223174
2,0.15541268374262981,0.7128104499496727,0.9593188658238272,0.15408769226042388,0.6922730121086351,0.9488654636412364
3,0.15010314168704963,0.7242482563500549,0.962110060346003,0.1501513532249727,0.6895115987873383,0.9522521985984556
4,0.14729739910047937,0.7321007160685912,0.9636629111822056,0.1491117662438086,0.6841854050037329,0.9539157882198798
5,0.1454767036611396,0.7352140850400403,0.9647413375087024,0.14832533634353542,0.6944167973427557,0.9553292438409465
6,0.1426286969357263,0.7438880404188456,0.9678187759775412,0.1471265237604346,0.6931273127619993,0.9565402100331526
7,0.14088411285784744,0.7461182320852228,0.9698479475767238,0.14674701599356965,0.6964626422161417,0.9607210211819825
8,0.14140559370797903,0.7603044996663654,0.9712508138086968,0.14670327958341275,0.7063479684569295,0.9667758521430131
9,0.13622967572856207,0.7720526647608773,0.9737706635170803,0.13993740093723955,0.7165511108194279,0.969015147003355
10,0.1359788027793356,0.7778302665777946,0.9739462926894018,0.14339327281005232,0.7159912876424628,0.9676374248109106
11,0.1352703095298458,0.7928365222240297,0.9756610474361302,0.14211950001514484,0.7272342762513344,0.9695987930041888
12,0.13030084733852848,0.7979475799120453,0.9757097179368404,0.14479749332441985,0.7200998927913229,0.9680860778591706
13,0.12552477674812706,0.8131085543179022,0.9779081075663214,0.14171028573896602,0.7377913594846871,0.9709328410060946
14,0.12547674957031668,0.8320847223457926,0.9791952120507798,0.1423677107759407,0.7583614435218043,0.9719095547217755
15,0.12384718591937051,0.8365667185944287,0.9798466201994316,0.1428205870062073,0.7684780091463745,0.970809759196395
16,0.12027693391526283,0.836067410907885,0.980262531750955,0.14113860195365863,0.7551770938723219,0.9714489905306414
17,0.11780102406902036,0.8424083132813042,0.9807501397358067,0.13958258515047295,0.7558254243622159,0.971711035673873
18,0.11493220193023622,0.8464521301450859,0.9814533788072928,0.1417026526838024,0.7577813266573317,0.9709368113870527
19,0.11315782943658671,0.8569334491733855,0.9823014555098347,0.1460394118732222,0.7788011447237082,0.9702737577670578
20,0.11650751667130149,0.866150457146638,0.9831939587176634,0.14752150162835623,0.7959702233867259,0.9711710638635777
