epoch,train_loss,valid_loss,valid_pr_auc,valid_roc_auc
1,0.40839599509002544,0.37905377881708385,0.2771878631558853,0.6792488039227363
2,0.22376883063939254,0.15366836291090033,0.6707484414733578,0.9452405058265341
3,0.15224991988707323,0.150134914160491,0.6952666120232208,0.950259067357513
4,0.1527733714646499,0.15058784400708525,0.6828972582334576,0.952053679550553
5,0.14837857767200036,0.15040370777189652,0.6847622752780237,0.9534274313620391
6,0.1467494325966272,0.1482788378967144,0.6853024296360882,0.9571675302245249
7,0.14608492146321045,0.1520043563878584,0.686523370836429,0.9576797093681138
8,0.1428995312739289,0.15489378571510315,0.6948166554208463,0.9605383836579119
9,0.13856607162129586,0.15646327835058815,0.6882885355615176,0.9585412820360113
10,0.13607980616080442,0.14974456175027767,0.6907568104515273,0.9643698012824331
11,0.1326423924154917,0.1509785652956434,0.6913464833423105,0.9652115220455402
12,0.12970761491513838,0.16041062790179283,0.6993999828820998,0.962340936612868
13,0.13061739667544553,0.15938771075416153,0.701315435516171,0.9601691382288131
14,0.12359742687657024,0.16354160973720144,0.703538837371833,0.9593115359418736
15,0.12109345496890889,0.17483315681503994,0.7092021208240673,0.9600539971810296
16,0.11497845379577251,0.1766466438093873,0.6916626980828053,0.9593075655609156
17,0.1117101816308546,0.1717264052326275,0.6941120982659371,0.9569729815575805
18,0.1077467510726407,0.17751537045545984,0.7025786635791804,0.955218073174121
19,0.10422990886793093,0.18964640018300158,0.6922180367464247,0.9556071705080103
20,0.10119510459444282,0.20388512004997447,0.6959162823600198,0.9522085244079169
