epoch,train_loss,train_pr_auc,train_roc_auc,valid_loss,valid_pr_auc,valid_roc_auc
1,0.20594599891477358,0.609377634350834,0.9339829355264857,0.20215930486314287,0.6299253776371744,0.9291723740892939
2,0.1572688983480249,0.6512993780990477,0.9448258923451868,0.15498890596453116,0.6543506464997272,0.936604927242769
3,0.15326948379338026,0.6635012096309897,0.949001983842116,0.15291610844582518,0.655877819039295,0.9406189823913603
4,0.14997933527026527,0.6895870341553302,0.9527181887711104,0.15252244261619405,0.6312734118349107,0.9407976495344728
5,0.14984290378728188,0.6929184976744834,0.9538499810826161,0.15444389429286579,0.6037745633322331,0.9366327199094753
6,0.14930445758261413,0.6941082453340084,0.9565315541059752,0.16078681487823837,0.63431727674473,0.9467492505905942
7,0.15025347786176158,0.7205016854519637,0.95750207459138,0.16088327910696393,0.609102812175616,0.9450221348738411
8,0.1472013762515066,0.7491006418035222,0.9617460700150887,0.16187932550190925,0.6198615467502608,0.9490242788795584
9,0.14703049993963835,0.7573907423698852,0.965021892695542,0.16117785097123466,0.6143029666098491,0.9492168423560241
10,0.14239740261624217,0.7697209973251046,0.9673262919128409,0.16134542712223068,0.6326445139249032,0.9543525301252654
11,0.13799268858166197,0.7935121496320224,0.9697780570988951,0.1576777810407417,0.6431284545976749,0.9540388700295793
12,0.13823508919220412,0.807020132064952,0.9728308442751663,0.15548440386281312,0.669052208399762,0.9600420860381553
13,0.12893159746596694,0.8320870324429861,0.9759484652538677,0.16253347390484268,0.6744692760885618,0.9570166557481191
14,0.1321508447765556,0.8292048136857342,0.97594015785857,0.15986700176953952,0.6730527326322633,0.9590018462271456
15,0.12392232930463039,0.8388054084580947,0.9780580018727759,0.17977518738509815,0.6959747209332041,0.9593710916562445
16,0.11562885018889046,0.8646131470860939,0.9815032231790776,0.16961389895434054,0.6738660392073709,0.9592758025132512
17,0.11433832956445061,0.8680027779444532,0.981317751549284,0.18266088343430584,0.6907714371364342,0.9602803088956385
18,0.1193300160386531,0.8724781957162404,0.9830700701704008,0.1779471963086975,0.6849985193353815,0.959414765846783
19,0.10283272986709902,0.8969119494677408,0.9856776893160575,0.17593871870728456,0.6896954625494311,0.9602604569908483
20,0.1035148353999639,0.8925549976349048,0.9849637951071248,0.17957485279190205,0.6743512471855302,0.958291148035654
