epoch,train_loss_running,train_loss,train_pr_auc,train_roc_auc,valid_loss,valid_pr_auc,valid_roc_auc
1,0.44114368749358485,0.38334551861608496,0.15432728258395084,0.561827518608114,0.38366099050111857,0.1436356816739019,0.5274373176106247
2,0.38257585833974384,0.372597808778048,0.3092625110066496,0.7381644448899134,0.3743636761313287,0.28615349858715733,0.6908343755583348
3,0.22938588506415172,0.15158629852638744,0.7023205525264336,0.957593817130752,0.15303057877816886,0.6453956576912907,0.9472892224008893
4,0.1517535939991168,0.15444343768302468,0.727435410237864,0.9610741642715183,0.1654413549779095,0.6827075446072085,0.9506680165961924
5,0.151496636547909,0.14700564318769535,0.7377756812455769,0.9657107744208075,0.1498522403163808,0.6811959329280397,0.9534830166954519
6,0.1466780316639273,0.14338480059803382,0.7492665077417036,0.9672871026785028,0.15236093152627767,0.6874365309883719,0.9544001746967621
7,0.14421167357676518,0.1405479161103861,0.7611049926203869,0.9694968698276304,0.15022985505882666,0.689666336411801,0.9566752029857265
8,0.14247373639857233,0.1394036618883244,0.7741767043886708,0.9718908444377021,0.14820731879872218,0.6897594630331707,0.9598356262283365
9,0.1389588885013539,0.1357856656414607,0.7913301878420648,0.9739355472541802,0.14864528239847663,0.6909322181769908,0.9612530522303614
10,0.13512942092084096,0.13039594657901893,0.8025451635046879,0.9754113740883312,0.15115550412076498,0.6956774677172642,0.9634566136620809
11,0.13436150600144472,0.1288175082723549,0.8147768261172494,0.9766659713737995,0.14727143431020198,0.6966695485007138,0.9653504853790721
12,0.13005470965191493,0.12298122713532506,0.8307117285969503,0.9785651141770215,0.14672331609458567,0.7125194372685159,0.9668274670954679
13,0.12624491134491636,0.12114510464620672,0.8445198462735825,0.9803542742903273,0.14873383495613476,0.7257683418791737,0.9685267901455146
14,0.12366020899633647,0.11588425173530971,0.8521299247648105,0.9816209714776417,0.15139762785668684,0.7181234288561568,0.9680106406209676
15,0.1185329712489572,0.11351771072972794,0.8715721368164492,0.9835282410806114,0.1444369273605907,0.7302809732812642,0.9696623190995176
16,0.11582795359700052,0.10933708972034628,0.8791640852171595,0.9843497702373115,0.14639625486449023,0.7428264546889896,0.9704603656720863
17,0.11374101376599811,0.10817198919029285,0.8896250266827224,0.9855554261287449,0.14821208664309357,0.7263406362992523,0.9692216068131737
18,0.10967744108240603,0.1012989375432151,0.8961278105229855,0.9866433337216136,0.14663024061671565,0.7348496059058357,0.9698926011950846
19,0.10728945672784067,0.1051234395688966,0.901904644492044,0.9869575699785181,0.14378797906501908,0.7259927457365547,0.9698092231949654
20,0.10184260229519009,0.10463126615769375,0.8897687100244253,0.9862214625169422,0.1648871975245877,0.7415863757053317,0.9700950906239454
