epoch,train_loss_running,train_loss,train_pr_auc,train_roc_auc,valid_loss,valid_pr_auc,valid_roc_auc
1,0.40876939544253393,0.37671943086253123,0.32849496906377074,0.7452933639262195,0.37682678436087036,0.32200191267684564,0.7146646020685685
2,0.22091056831516814,0.15233898789319594,0.7128982528923695,0.9593942644659293,0.15399660129294057,0.6766319078166755,0.9459115002084449
3,0.15312806706869186,0.15054459481819385,0.7315748904954583,0.963477620147962,0.15137714818020528,0.6762472315428473,0.949516606118357
4,0.15128877715627873,0.14718995443494812,0.7316063329271711,0.9643902597596093,0.1501390083589764,0.6840820794887057,0.9512675441208583
5,0.1475970211347987,0.14534241218636257,0.7404476815994278,0.9663855696931771,0.1501631473746892,0.6767821357293871,0.9534631647906616
6,0.14629621767208906,0.143786770242218,0.7485095385687589,0.967763513739258,0.14891138561418124,0.678041127585359,0.954912353840351
7,0.14415004281608704,0.13965552465972123,0.7547549577900394,0.968423590474307,0.15064291695806786,0.6752486831892809,0.9556032001270521
8,0.14330968731685972,0.14009585504404695,0.7655331218274412,0.9700260147889695,0.1505045723692279,0.6754547115104474,0.9550473467929248
9,0.14071578106588456,0.14003911768274857,0.7717352802899071,0.9716784640709668,0.1534199579376404,0.6773370703791466,0.9570444484148255
10,0.1372617993756695,0.1338380017130292,0.7852172270861728,0.9740545597215938,0.15170164583362789,0.6841337229944305,0.9606217616580311
11,0.1350079407427764,0.13012289752704514,0.7902457362668938,0.9753329956196549,0.14693631916163918,0.6907497697889574,0.9639171778532151
12,0.13135846050990627,0.1281892528499254,0.8040410562459334,0.9767806495480145,0.14935992463169812,0.6915317921592481,0.9643142159490202
13,0.13144938498140402,0.12485409152300372,0.802457914416272,0.9773451912371427,0.1455347141094297,0.7061998139862861,0.9665296885236139
14,0.12548461648238704,0.115951800492581,0.831633242457831,0.9804778919442645,0.15251221618203517,0.6889146812931376,0.9615428900402994
15,0.12232668822364541,0.11844147519084704,0.8352952505290016,0.9800169218030298,0.1515595557613271,0.6894639331836337,0.9615230381355091
16,0.11914038507685414,0.11049185981426794,0.8568402501470236,0.9829418473299398,0.15604971574049925,0.6972905556082808,0.9625076926131062
17,0.11455102036220988,0.10828056057656893,0.8642680897086358,0.9840743620236453,0.16328622826508113,0.7161898376300455,0.9610068886109623
18,0.11215480737902407,0.11906334443715934,0.8702065575387339,0.9831000490316919,0.15991930558143536,0.7093969010443266,0.9677803585254006
19,0.11005195307174004,0.10100155959572032,0.8875811667522118,0.9861452511948653,0.17005436266654325,0.7016091095861258,0.9625037222321481
20,0.10239879951875548,0.09232112273990394,0.906651164796719,0.9882643593779206,0.18423955694577085,0.7146455140389508,0.961149822325452
