epoch,train_loss,train_pr_auc,train_roc_auc,valid_loss,valid_pr_auc,valid_roc_auc
1,0.2009580152516221,0.6564309505472041,0.9442734505579048,0.19609702467043028,0.6563307971779059,0.945315943064737
2,0.14727768962018095,0.729313961052407,0.9639348880804227,0.14995491759321877,0.7133409100873506,0.9511722549778652
3,0.1438225873124919,0.748507914175704,0.9668189990130455,0.14783250621068622,0.7108816421513368,0.9539237289817958
4,0.13994569078096308,0.7664353290678593,0.9690240706778745,0.14859058200636596,0.7220175523846788,0.9548766204117285
5,0.13619470655391097,0.784874429459869,0.9718086734624771,0.14589674789732066,0.7145024184370308,0.9581323327973319
6,0.13165660235229656,0.8264826316594108,0.9762135795211871,0.14532713123531305,0.7477809598304723,0.9603597165147996
7,0.12655362382284654,0.8347301122887807,0.97774828050462,0.14660778533274405,0.7298606142077076,0.9620828618505946
8,0.12099725228170634,0.8679758502981928,0.9814978053125792,0.14246031500707482,0.7683337922351829,0.9666487999523554
9,0.11637665772958272,0.8698041538113616,0.9827906888546359,0.14322572407400974,0.7912199608625649,0.968348123002402
10,0.11044718783308421,0.8812682019079264,0.9842795185683829,0.14357467463242515,0.7877137148583515,0.9692930736704186
11,0.10573347518937763,0.8913765031570068,0.9859908419996622,0.14360553200278325,0.7950892993909048,0.9692811625275445
12,0.1001193402531619,0.8933481252023578,0.9866142578380726,0.14645002094981507,0.7944981793960654,0.9692335179560478
13,0.09864608152077256,0.90224559754761,0.9872051664774929,0.14695522775040448,0.7834543299052257,0.9702697873860997
14,0.10180279597665538,0.9104440038024896,0.9878282211248032,0.15971871360997172,0.7831327826361281,0.9689238282413198
15,0.08889534486339763,0.9222312937214134,0.9898068259700012,0.15811168646143975,0.7988701460726464,0.9695193853850277
16,0.09167052644766607,0.9195240280040035,0.989488797206548,0.15123395704339757,0.8119284912507311,0.9715244277688444
17,0.08481363805103356,0.9311601497632038,0.9908652964882293,0.16316764914145934,0.8023118583382757,0.9692017549083835
18,0.07952898389277836,0.937317870256931,0.9916073636029533,0.16724398553132694,0.7945186877384185,0.9721993925317134
19,0.08172711240381632,0.9383112940073023,0.9918486392576801,0.1731616970654005,0.7823556605313134,0.9662041172850535
20,0.07593474659539602,0.9452858126936184,0.9925110637348786,0.17238441314573122,0.8116230837491518,0.9691699918607191
