epoch,train_loss,train_pr_auc,train_roc_auc,valid_loss,valid_pr_auc,valid_roc_auc
1,0.3840468677703272,0.2313909060990885,0.6909916230754157,0.3831142658623898,0.22577675789855883,0.673962241677089
2,0.37544839836431787,0.3745921103818882,0.8178113264111058,0.3753838557426697,0.3374156040771904,0.7930041887519107
3,0.1947216144457451,0.6752917353666232,0.9534040906698017,0.19002872683575378,0.6218828060364641,0.9499930518333234
4,0.16351272343433182,0.67551016461619,0.9553183132014444,0.16203838049649238,0.6302150084928646,0.952522184503603
5,0.15855492362874749,0.6829078257992289,0.9553860365326736,0.15560724880690568,0.6722598997903644,0.9550513171738827
6,0.15568789356498125,0.6855420639407174,0.9554765149031963,0.153732152066339,0.6695056687522711,0.9544200266015523
7,0.15316044057666814,0.6820890312136575,0.9549665130701513,0.1528203223691445,0.6857542049982805,0.9538324102197605
8,0.1583459650788454,0.6911513844907057,0.9569089988053604,0.15684538924487157,0.6753883783226945,0.954757508982987
9,0.15151888111269413,0.6896758196324706,0.9575866836065292,0.1530039391526393,0.6881287560557982,0.9566196176523137
10,0.15035883905934525,0.6961225888936807,0.957873288744292,0.15276011372997222,0.6848408612198307,0.9547813312687353
11,0.15445031915486912,0.6960596322291192,0.9573363781743054,0.1579100244115287,0.6941433024571901,0.9547416274591546
12,0.14880650475221704,0.7144283810020169,0.9602127234982802,0.15213832866962507,0.6897245220569368,0.9573779604153019
13,0.1546738578492209,0.7085527394136295,0.9603504276051132,0.15792951282258028,0.697950294623945,0.9587120084172076
14,0.1484327620512679,0.7103923171776728,0.9613635686403051,0.15566529185375638,0.6917009414675825,0.9589383201318167
15,0.16754655833252485,0.7220147865941967,0.9626468806182148,0.16249877679968708,0.6915397134327335,0.9611458519444941
16,0.1508096266501778,0.697244753289293,0.9602932691135558,0.16590941155227387,0.6961987022146879,0.9579099914636809
17,0.15389661994989573,0.717898192526262,0.9633609554226974,0.1548311199361237,0.6929924740933396,0.9600937009906101
18,0.1466168666261642,0.7285349418679762,0.964381591173212,0.15348125492857995,0.6717009516255629,0.9589383201318167
19,0.14392281487303601,0.7322582613549861,0.9652476371329736,0.15073853335250045,0.667017581208954,0.9595021142278601
20,0.144804716212234,0.7317449472621653,0.9655750568650238,0.15472151516117305,0.6731763115298647,0.9593591805133703
