epoch,train_loss,valid_loss,valid_pr_auc,valid_roc_auc
1,0.41236211110439835,0.3829388328403911,0.16596543101896657,0.5862148373136402
2,0.28444575973564873,0.15119999913730037,0.6921194978235614,0.9470470291624481
3,0.15242866142368697,0.1497446549571404,0.7050968129655545,0.9509538840251722
4,0.14850300953378695,0.14915835215785953,0.6959876208173892,0.9514382705020547
5,0.14782920706734545,0.15038178162835786,0.6918014299392083,0.9565481507950687
6,0.14616750352428903,0.15047518098266802,0.6885855922221934,0.9543922339348461
7,0.14260490729988334,0.15130725454225719,0.6867950437716097,0.9533678756476685
8,0.14112473028476621,0.1503330694538888,0.6974348262795467,0.957834554225478
9,0.13550278822388298,0.15030495725940163,0.6988787461602135,0.9621106545173009
10,0.13385016386568785,0.15805655013575892,0.7277753662903301,0.9622853512794551
11,0.13194892331915314,0.14971793116690799,0.712536627687337,0.9633573541381296
12,0.12572324449378153,0.15739989560221798,0.7069139487844105,0.9626625374704701
13,0.12141277094483716,0.17267537077214912,0.7247945068628164,0.9624600480416096
14,0.11903390103894781,0.16172623998412144,0.7180993918993474,0.9628848788041213
15,0.11116374262353045,0.17577761397740552,0.7221864707975716,0.9596926925138467
16,0.10909328724035044,0.16725463258010523,0.7439597438647427,0.9651559367121275
17,0.10379452355252765,0.18976757368035566,0.7312433605881671,0.9609592440394656
18,0.10056254316357226,0.17587680226373417,0.7021887898874768,0.9617771425168244
19,0.09822137864212002,0.17824449387188748,0.7283535051002163,0.9608043991821015
20,0.0911119889725091,0.1964118446861313,0.7088119913322583,0.9581879181307447
